date,type,operator,fatalities,location,country,cat,year
29-AUG-1929,Junkers G.24li,AB Aerotransport,0.0,Emsland,Germany,A1,1929
03-SEP-1929,Ford 5-AT-B Tri-Motor,Transcontinental Air Transport - TAT,8.0,"near Gallup, NM",USA,A1,1929
06-SEP-1929,DH.66 Hercules,Imperial Airways,3.0,Jask Airport,Iran,A1,1929
10-SEP-1929,Rohrbach Ro X Romar I,Deutsche Lufthansa,0.0,near GrÃ¶mitz,Germany,A1,1929
19-OCT-1929,Sabca (Handley Page) W.8B,Sabena,0.0,Edegem,Belgium,A1,1929
26-OCT-1929,Short S.8/1 Calcutta,Imperial Airways,7.0,near La Spezia,Italy,A1,1929
06-NOV-1929,Junkers G.24bi,Deutsche Lufthansa,7.0,"near Godstone, Surrey",U.K.,A1,1929
18-NOV-1929,Rohrbach Ro X Romar I,Deutsche Lufthansa,0.0,LÃ¼beck-TravemÃ¼...,Germany,A1,1929
27-NOV-1929,Fokker F.32,Fokker Aircraft Corp. of America,0.0,near Hempstead-Roosev...,USA,A1,1929
04-DEC-1929,Curtiss B-2 Condor (Condor 18),USAAC,1.0,"Goodwater, AL",USA,A1,1929
12-DEC-1929,Farman F.180T,SGTA,0.0,Toussus-le-Noble,France,O1,1929
26-DEC-1929,Fokker F.10,Western Air Express,0.0,Oakland Municipa...,USA,A1,1929
19-JAN-1930,Ford 5-AT-C Tri-Motor,Maddux Airlines,16.0,"Oceanside, CA",USA,A1,1930
07-FEB-1930,Junkers R-42 (G.24),Chilean AF,2.0,near Punta Arenas,Chile,A1,1930
08-FEB-1930,Ford 4-AT-A Tri-Motor,Private,0.0,"San Marcos, TX",USA,A1,1930
10-FEB-1930,Farman F.63bis Goliath,Air Union,2.0,"Marden, Kent",U.K.,A1,1930
14-FEB-1930,DH.66 Hercules,Imperial Airways,0.0,Gaza,Israel,A1,1930
23-FEB-1930,Fokker F.10A,Western Air Express,3.0,"near San Bernardino, CA",USA,A1,1930
02-MAR-1930,Ford 4-AT-A Tri-Motor,NYRBA,0.0,Cordoba,Argentina,A1,1930
08-APR-1930,Ford 5-AT-C Tri-Motor,Tri-Motor Safety Airways,6.146275647879436,Buenos Aires,Argentina,A1,1930
31-MAY-1930,Handley Page W.9a Hampstead,Ellyou Goldfields Development,6.146275647879436,Mount Misim,P.N. Guinea,A1,1930
05-JUN-1930,Ford 5-AT-B Tri-Motor,Colonial Air Transport,1.0,"Boston, MA",USA,A1,1930
25-JUN-1930,Ford 5-AT-A Tri-Motor,Northwest Airways,0.0,Chicago Municipa...,USA,O1,1930
25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10,Shell Oil,0.0,"Chicago, IL",USA,O1,1930
25-JUN-1930,Fokker F.10,Northern Airlines,0.0,"Chicago, IL",USA,O1,1930
09-JUL-1930,Farman F.63bis Goliath,SGTA,1.0,Aalsmeer,Netherlands,A1,1930
12-JUL-1930,Curtiss Condor 18,Curtiss,6.146275647879436,"Valley Stream, NY",USA,A1,1930
04-AUG-1930,Ford JR-3 (5-AT-C) Tri-Motor,USMC,0.0,"Ocotal, Nueva Se...",Nicaragua,A1,1930
22-AUG-1930,Ford 5-AT-C Tri-Motor,CSA,12.0,Jihlava (Iglau),Czech Rep.,A1,1930
03-SEP-1930,Fokker F.10A,Pan Am,0.0,Santo Domingo,Dominican Rep.,O1,1930
30-OCT-1930,Handley Page W.8g,Imperial Airways,3.0,"Boulogne, Paris",France,A1,1930
07-NOV-1930,Junkers G.24,Syndicato Condor,1.0,"near Iguape, SP",Brazil,A1,1930
21-NOV-1930,Ford 4-AT-B Tri-Motor,Curtiss-Wright Flying Service,0.0,"Burbank, CA",USA,O1,1930
21-NOV-1930,Dornier Do R4 Superwal,SANA,6.0,"near Cap de Creus, Spain",Mediterranean Sea,A1,1930
22-NOV-1930,Fokker F.10A,Southern Air Fast Express,6.146275647879436,Dallas-Love Fiel...,USA,U1,1930
24-NOV-1930,Ford 5-AT-C Tri-Motor,Ford Motor Company,2.0,"Dearborn, MI",USA,A1,1930
20-DEC-1930,Ford 4-AT-E Tri-Motor,Pittsburgh Airways,6.146275647879436,"Jennerstown, PA",USA,A1,1930
22-DEC-1930,Fokker F.10,Western Air Express,0.0,"Alhambra, CA",USA,A1,1930
27-JAN-1931,Ford 5-AT-B Tri-Motor,TWA,0.0,"Harrisburg, PA",USA,A1,1931
21-FEB-1931,Ford Tri-Motor,Panagra,0.0,Arequipa Airport...,Peru,H2,1931
31-MAR-1931,Fokker F.10A,TWA,8.0,"near Bazaar, KS",USA,A1,1931
01-APR-1931,Ford 5-AT-C Tri-Motor,Panagra,0.0,Ovalle Airport (...,Chile,A1,1931
17-APR-1931,Ford 5-AT-C Tri-Motor,Private,0.0,"near Mohania, Bihar",India,A1,1931
18-APR-1931,Junkers F.24ko (G.24),Deutsche Lufthansa,0.0,Gex (Ain),France,A2,1931
19-APR-1931,DH.66 Hercules,Imperial Airways,0.0,near Kupang,Indonesia,A1,1931
22-APR-1931,A.W. Argosy II,Imperial Airways,0.0,London-Croydon A...,U.K.,A1,1931
29-APR-1931,Ford 5-AT-C Tri-Motor,National Air Transport,0.0,"near Elyria, OH",USA,A1,1931
11-JUN-1931,Junkers G.24,AB Aerotransport,0.0,MalmÃ¶-Bulltofta...,Sweden,O1,1931
16-JUN-1931,A.W. Argosy IA,Imperial Airways,0.0,Aswan,Egypt,A1,1931
04-AUG-1931,Fokker F.IX,KLM,0.0,Rotterdam-Waalha...,Netherlands,A1,1931
07-AUG-1931,Fokker F.10A,Mexicana,6.146275647879436,"Miami, FL",USA,A1,1931
09-AUG-1931,Ford 5-AT-B Tri-Motor,American Airways,6.0,"Cincinnati, OH",USA,A1,1931
19-AUG-1931,Ford 5-AT-B Tri-Motor,TWA,0.0,"Pittsburgh, PA",USA,A1,1931
27-AUG-1931,Sikorsky S.41B,Boston-Maine Airways,1.0,"near Gloucester, MA",USA,A1,1931
19-SEP-1931,Ford XB-906 (Tri-Motor),Ford Motor Company,2.0,"near Dearborn, MI",USA,A1,1931
27-OCT-1931,Ford 5-AT-C Tri-Motor,National Air Transport,0.0,"Ashley, IN",USA,A1,1931
19-DEC-1931,Ford 4-AT-E Tri-Motor,TWA,1.0,"Oklahoma City, OK",USA,A1,1931
08-FEB-1932,Fokker F.10A,Transamerican Airlines,6.146275647879436,"Detroit, MI",USA,O1,1932
15-MAR-1932,Ford 4-AT-B Tri-Motor,Skyway,0.0,Blackwell Airpor...,USA,O1,1932
19-MAR-1932,Fokker F.10A,American Airways,7.0,"Calimesa, CA",USA,A1,1932
27-JUN-1932,Junkers PS-5 (G.24),Dobrolet,6.146275647879436,Nizhnetambovsk,Russia,A1,1932
10-JUL-1932,Boeing 80A,Boeing Air Transport,0.0,"Sterling, IL",USA,A1,1932
16-JUL-1932,Ford 5-AT-C Tri-Motor,Panagra,9.0,near Vitacura,Chile,A1,1932
29-JUL-1932,Junkers Ju-52/3mce,Deutsche Lufthansa,0.0,near Schleissheim Aer...,Germany,A2,1932
31-AUG-1932,Junkers G.24,AB Aerotransport,2.0,Tubbergen,Netherlands,A1,1932
08-SEP-1932,Fokker F.10A,American Airways,3.0,"near Salt Flat, TX",USA,A1,1932
17-SEP-1932,LiorÃ© et Olivier 212,Air Union,1.0,Selsdon Park,U.K.,A1,1932
02-OCT-1932,Ford 5-AT-B Tri-Motor,Pan Am,0.0,"El Aceituno, Cho...",Honduras,A1,1932
26-OCT-1932,Ford 5-AT-D Tri-Motor,LAB,2.0,"Villamontes, Gra...",Bolivia,A1,1932
11-DEC-1932,Fokker F.10A,Western Air Express,6.146275647879436,"Lynndyl, UT",USA,U1,1932
14-DEC-1932,Ford 5-AT-B Tri-Motor,TWA,2.0,Amarillo-English...,USA,A1,1932
13-JAN-1933,LiorÃ© et Olivier 213,Air Union,0.0,Poix-de-Picardie,France,A1,1933
14-JAN-1933,Curtiss Condor 18,Eastern Air Transport,2.0,"Newark, NJ",USA,A1,1933
24-JAN-1933,Ford 5-AT-D Tri-Motor,Pacific Air Transport,2.0,"Eugene, OR",USA,A1,1933
10-FEB-1933,Ford 5-AT-B Tri-Motor,TWA,0.0,"Bakersfield, CA",USA,A1,1933
22-MAR-1933,Ford JR-3 (5-AT-C) Tri-Motor,USMC,0.0,"Virginia Beach, VA",USA,A1,1933
28-MAR-1933,A.W. Argosy II,Imperial Airways,15.0,near Diksmuide,Belgium,A1,1933
31-MAR-1933,Ford 4-AT-B Tri-Motor,Private,7.0,"near Neodesha, KS",USA,A1,1933
27-MAY-1933,Junkers Ju-52/1mcai,RDL,6.146275647879436,Zechliner HÃ¼tte,Germany,A1,1933
02-JUN-1933,Ford 4-AT-E Tri-Motor,Plane Speaker Corporation,0.0,Hempstead-Roosev...,USA,O1,1933
11-AUG-1933,Dornier Do R4 Superwal,SANA,0.0,near Valencia,Spain,A1,1933
29-AUG-1933,Ford 5-AT-B Tri-Motor,TWA,5.0,"near Quay, NM",USA,A1,1933
21-SEP-1933,Curtiss T-32 Condor II,Eastern Air Transport,0.0,"Newark, NJ",USA,A1,1933
18-OCT-1933,Ford 4-AT-B Tri-Motor,Private,3.0,Managua,Nicaragua,A1,1933
