date,type,operator,fatalities,location,country,cat,year
04-JAN-1949,Douglas VC-47D (DC-3),USAF,8.0,"near Weimar, CA",USA,A1,1949
05-JAN-1949,Curtiss C-46A,private,0.0,Zacatecas Airpor...,Mexico,A1,1949
05-JAN-1949,Avro 685 York I,BSAA,3.0,"Caravelas Bay, BA",Brazil,A1,1949
06-JAN-1949,Douglas C-47A (DC-3),Coastal Cargo,2.0,"Brandywine, MD",USA,A1,1949
06-JAN-1949,Douglas C-47B (DC-3),Iranian Airways,6.146275647879436,Birjand Airport ...,Iran,U1,1949
07-JAN-1949,Douglas C-54G (DC-4),USAF,6.0,near Garstang,U.K.,A1,1949
07-JAN-1949,Breguet 730,French Navy,2.0,near Arzew,Algeria,A1,1949
07-JAN-1949,Douglas C-47A (DC-3),USAF,3.0,"near Mineral, WA",USA,A1,1949
08-JAN-1949,Douglas C-47A (DC-3),Air AlgÃ©rie,0.0,Lyon-Bron Airpor...,France,A1,1949
09-JAN-1949,Lisunov Li-2,"Aeroflot, Uralsk",3.0,near Kazan,Russia,A1,1949
11-JAN-1949,Lockheed 18 Lodestar,SAVAG - ViaÃ§Ã£o AÃ©rea Gaucha,8.0,near Pelotas-Federal ...,Brazil,A1,1949
12-JAN-1949,Douglas C-54D (DC-4),USAF,3.0,near Frankfurt Rhein-...,Germany,A1,1949
14-JAN-1949,Fairchild C-82A Packet,USAF,3.0,near Fayetteville-Pop...,USA,A1,1949
15-JAN-1949,Douglas C-47A (DC-3),Pan African Air Charter,0.0,Ras-el-Tin,Egypt,A1,1949
16-JAN-1949,Douglas C-47B (DC-3),Dalmia Jain Airways,13.0,near Banihal Pass,India,A1,1949
17-JAN-1949,Curtiss C-46A,ANDES,0.0,Rio Yavari,Peru,A1,1949
17-JAN-1949,Avro 688 Tudor 4B,BSAA,20.0,western Atlantic,Atlantic Ocean,A1,1949
17-JAN-1949,Beech 34 Twin Quad,Beechcraft,1.0,Wichita-Beech Ai...,USA,A1,1949
17-JAN-1949,Douglas Dakota III (DC-3),RCAF,0.0,"near Churchill, MB",Canada,A1,1949
18-JAN-1949,Douglas C-54G (DC-4),USAF,1.0,near Fassberg,Germany,A1,1949
19-JAN-1949,Ilyushin Il-12P,"Aeroflot, Moscow",6.146275647879436,near Stalino Airport ...,Ukraine,A1,1949
20-JAN-1949,Douglas C-47A (DC-3),Alaska Airlines,5.0,"near Homer, AK",USA,A1,1949
21-JAN-1949,Lockheed P2V-2 Neptune,US Navy,0.0,Roosevelt Roads-...,Puerto Rico,A1,1949
22-JAN-1949,Douglas C-47A (DC-3),SAS,6.146275647879436,LuleÃ¥-Kallax Ai...,Sweden,A1,1949
23-JAN-1949,Douglas R4D-6 (DC-3),US Navy,5.0,"near Toledo, OH",USA,A1,1949
24-JAN-1949,Douglas Dakota IV (DC-3),RAF,8.0,near Utecht,Germany,A1,1949
26-JAN-1949,Curtiss C-46F,"USAF, op.for Pan Am",0.0,Asmara Internati...,Eritrea,A1,1949
27-JAN-1949,Douglas C-47 (DC-3),United Airlines,0.0,"Alameda, CA",USA,A1,1949
29-JAN-1949,Lisunov Li-2T,"Aeroflot, Northern",3.0,Nizhnyaya Pesha ...,Russia,A1,1949
30-JAN-1949,Lockheed L-749A Constellation,Pan Am,0.0,"near Port Washington, NY",USA,A2,1949
30-JAN-1949,unknown,CNAC,0.0,Tainan,Taiwan,H2,1949
01-FEB-1949,Avro 685 York I,BOAC,0.0,Tripoli-Castel B...,Libya,A1,1949
04-FEB-1949,Douglas C-54A (DC-4),Skyways,1.0,near Tripoli-Castel B...,Libya,A1,1949
05-FEB-1949,Consolidated PBY-5A Catalina,Avianca,5.0,Buenaventura Bay,Colombia,A1,1949
05-FEB-1949,Douglas C-47A (DC-3),USAF,7.0,near Ahwaz,Iran,A1,1949
06-FEB-1949,Douglas C-47A (DC-3),AECA,2.0,Guayaquil,Ecuador,A1,1949
07-FEB-1949,Junkers Ju-52/3m,MAP Tyumen No. 26,1.0,"near Mezenka, Beloyar...",Russia,A1,1949
08-FEB-1949,Vickers 628 Viking 1B,SAS,27.0,near BarsebÃ¤ck [Ãre...,Sweden,A1,1949
10-FEB-1949,Douglas C-47B (DC-3),Faucett PerÃº,16.0,near HuÃ¡nuco,Peru,A1,1949
10-FEB-1949,Douglas DC-3,Lutheran Mission,0.0,Paiyang,China,A1,1949
15-FEB-1949,Douglas R5D-2 (C-54B),US Navy,0.0,Oberpfaffenhofen...,Germany,A1,1949
15-FEB-1949,Douglas C-54M (DC-4),USAF,0.0,Celle RAF Statio...,Germany,A1,1949
16-FEB-1949,Douglas C-47 (DC-3),Private,0.0,Montevideo,Uruguay,A1,1949
17-FEB-1949,Douglas C-47D (DC-3),USAF,8.0,near San Antonio de l...,Argentina,A1,1949
19-FEB-1949,Douglas Dakota C.3 (DC-3),BEA,10.0,near Exhall,U.K.,A1,1949
21-FEB-1949,Short S.25 Sunderland 3,BOAC,0.0,"Hythe, Hampshire",U.K.,O1,1949
22-FEB-1949,Curtiss C-46A,Golden North Airways,0.0,Annette Island A...,USA,A1,1949
24-FEB-1949,Douglas C-47A (DC-3),Cathay Pacific,23.0,"North Point, Hon...",Hong Kong,A1,1949
24-FEB-1949,Douglas DC-3,TAM Peru,22.0,Cuzco Airport (CUZ),Peru,A1,1949
28-FEB-1949,Douglas C-47B (DC-3),USAF,9.0,Cerro Colorado,Mexico,A1,1949
01-MAR-1949,Fairchild C-82A Packet,USAF,0.0,"near BraganÃ§a, PA",Brazil,A1,1949
02-MAR-1949,Douglas C-54B (DC-4),TWA,0.0,"Gander Airport, ...",Canada,A2,1949
04-MAR-1949,Douglas C-54E (DC-4),USAF,1.0,near Bad Langensalza,Germany,A1,1949
05-MAR-1949,Curtiss C-46D,USAF,6.0,near Okinawa-Naha AFB...,Japan,A1,1949
09-MAR-1949,Douglas C-54D (DC-4),USAF,0.0,near Celle,Germany,A2,1949
10-MAR-1949,Lockheed 18 Lodestar,Queensland Airlines,21.0,Coolangatta Airp...,Australia,A1,1949
11-MAR-1949,Douglas C-47 (DC-3),LANICA,6.146275647879436,Puerto Cabezas,Nicaragua,A1,1949
11-MAR-1949,Boeing B-17G,IGN,5.0,near Nkolafamba,Cameroon,A1,1949
12-MAR-1949,Lisunov Li-2,"Aeroflot, Tajikistan",11.0,Mount Bel-Auty,Uzbekistan,A1,1949
12-MAR-1949,Amiot AAC.1 (Ju-52),French AF,23.0,Hoang Su Phi,Vietnam,A1,1949
15-MAR-1949,Avro 685 York I,Skyways,3.0,near Berlin-Gatow,Germany,A1,1949
16-MAR-1949,Douglas DC-2-243,Guinea Air Traders,0.0,Kerowagi,P.N. Guinea,A1,1949
18-MAR-1949,Lockheed C-60A Lodestar,New Zealand National Airways,15.0,near Paraparaumu Airp...,New Zealand,A1,1949
22-MAR-1949,Curtiss C-46A,L.A. Transatlantica Colombia,0.0,Barranquilla-Ern...,Colombia,O1,1949
22-MAR-1949,Douglas Dakota IV (DC-3),RAF,3.0,near LÃ¼beck,Germany,A1,1949
22-MAR-1949,Lockheed 14-08 Super Electra,Kenting Aviation,0.0,Kingston-Palisad...,Jamaica,A1,1949
24-MAR-1949,Fairchild C-82A Packet,USAF,0.0,"near Resolute Bay, NU",Canada,A2,1949
26-MAR-1949,Curtiss C-46F,"Freight Air, lsf USAF",0.0,near Campeche,Mexico,A1,1949
27-MAR-1949,Consolidated PBY-6A Catalina,US Navy,0.0,near Johnston Island,Pacific Ocean,A1,1949
29-MAR-1949,Douglas DC-2-243,Aerovias Brasil,0.0,Belo Horizonte-C...,Brazil,A1,1949
30-MAR-1949,Douglas C-47B (DC-3),USAF,7.0,"near Edgar Springs, MO",USA,A1,1949
31-MAR-1949,Douglas C-47 (DC-3),USAF,3.0,near Fayetteville-Pop...,USA,A1,1949
06-APR-1949,Handley Page Hastings C.1,RAF,0.0,Schleswigland RA...,Germany,A1,1949
06-APR-1949,Douglas C-47D (DC-3),Hellenic AF,7.0,near Pirsogianni,Greece,C1,1949
07-APR-1949,Avro 691 Lancastrian C.1,Qantas,0.0,"Dubbo Airport, N...",Australia,A1,1949
07-APR-1949,Vickers 632 Viking 1B,Air-India,0.0,Marve Beach,India,A1,1949
09-APR-1949,SNCASE SE.161/P7 Languedoc,Air France,0.0,Nice Airport (NCE),France,A1,1949
20-APR-1949,Douglas C-47A (DC-3),TCA,0.0,"Porto Nacional, TO",Brazil,A1,1949
21-APR-1949,Avro 685 York C.1,RAF,0.0,GÃ¼tersloh Airpo...,Germany,A1,1949
23-APR-1949,Douglas C-47A (DC-3),TAE,0.0,Athens-Hassani A...,Greece,A1,1949
27-APR-1949,Douglas C-47B (DC-3),USAF,0.0,"near Stephenville, NL",Atlantic Ocean,A1,1949
29-APR-1949,Douglas DC-3,TARS,0.0,Thessaloniki Air...,Greece,H2,1949
29-APR-1949,Lisunov Li-2,"Aeroflot, Yakutsk",14.0,near Kirensk,Russia,A1,1949
04-MAY-1949,Curtiss C-46F,Continental Charters,0.0,Saint Thomas Air...,U.S. Virgin Isl.,A1,1949
04-MAY-1949,Fiat G.212CP,ALI,31.0,near Torino-Aeritalia...,Italy,A1,1949
05-MAY-1949,Curtiss C-46A,private,2.0,"near Abaetetuba, PA",Brazil,A1,1949
06-MAY-1949,Bristol 170 Freighter 31,Bristol,7.0,near Portland Lighthouse,U.K.,A1,1949
07-MAY-1949,Douglas C-47B (DC-3),Philippine Air Lines,13.0,near Alabat Island [L...,Philippines,C1,1949
09-MAY-1949,Douglas C-47 (DC-3),Ecuador Air Force,11.0,VolcÃ¡n Tungurahua,Ecuador,A1,1949
10-MAY-1949,Avro 691 Lancastrian XPP,Flight Refuelling,0.0,near Schwerin,Germany,A1,1949
13-MAY-1949,Curtiss C-46D,Transandina Ecuador,0.0,Quito-Mariscal S...,Ecuador,A1,1949
13-MAY-1949,Ilyushin Il-12P,"Aeroflot, Moscow",25.0,near Novosibirsk-Seve...,Russia,A1,1949
15-MAY-1949,Consolidated PBY-5A Catalina,US Navy,6.146275647879436,"Detroit River, MI",USA,A1,1949
16-MAY-1949,Douglas C-47D (DC-3),USAF,6.0,near Roswell-Walker A...,USA,A1,1949
18-MAY-1949,Douglas C-47A (DC-3),RCAF,6.146275647879436,"Yellowknife, NT",Canada,A1,1949
20-MAY-1949,Fairchild C-82A Packet,USAF,0.0,Isachsen Airstri...,Canada,A1,1949
23-MAY-1949,Douglas Dakota IV (DC-3),RAF,0.0,North Luffenham ...,U.K.,A1,1949
26-MAY-1949,Douglas C-54D (DC-4),USAF,6.146275647879436,Celle RAF Station,Germany,A2,1949
27-MAY-1949,Curtiss C-46F,Trans-Air Hawaii,2.0,"Maui, HI",USA,A1,1949
30-MAY-1949,Douglas R5D-3 (C-54D),US Navy,0.0,Stephenville-Ern...,Canada,A1,1949
02-JUN-1949,Curtiss C-46,Central Air Transport,3.0,near Chongqing,China,A1,1949
03-JUN-1949,Curtiss C-46D,RANSA,0.0,Miami Internatio...,USA,A1,1949
06-JUN-1949,Douglas C-47A (DC-3),TAE,22.0,near Athens,Greece,A1,1949
06-JUN-1949,Douglas C-47B (DC-3),Brazilian AF,28.0,"near FlorianÃ³polis, SC",Brazil,A1,1949
07-JUN-1949,Curtiss C-46D,Strato-Freight,53.0,near San Juan-Isla Gr...,Puerto Rico,A1,1949
09-JUN-1949,PBV-1A Canso (PBY-5A),Canadian Pacific,6.146275647879436,"Osisko Lake, QC",Canada,A1,1949
13-JUN-1949,Douglas R4D-6 (DC-3),US Navy,7.0,"near Santa Monica, CA",USA,A1,1949
13-JUN-1949,Douglas DC-3,El Al,0.0,Kolunda,Israel,A1,1949
19-JUN-1949,Avro 685 York C.1,Skyways,0.0,Neustadt,Germany,A1,1949
19-JUN-1949,Consolidated PBY-5 Catalina,La LegiÃ³n Caribe,4.0,near LuperÃ³n,Dominican Rep.,C1,1949
22-JUN-1949,Convair CV-240-0,American Airlines,0.0,near Memphis Municipa...,USA,A1,1949
22-JUN-1949,Douglas C-47B (DC-3),French AF,6.146275647879436,unknown,Unknown country,A1,1949
23-JUN-1949,Lockheed L-749-79-33 Constellation,KLM,33.0,near Bari,Italy,A1,1949
24-JUN-1949,Catalina IVB (PBY-5A),"RAAF, op.for Qantas",0.0,Lord Howe Island,Australia,A1,1949
24-JUN-1949,Douglas R5D-4 (C-54E),US Navy,0.0,Stephenville-Ern...,Canada,A1,1949
25-JUN-1949,Douglas C-54E (DC-4),USAF,0.0,Berlin-Tempelhof...,Germany,A1,1949
26-JUN-1949,Avro 691 Lancastrian C.4,Skyways,0.0,Berlin-R.A.F. Ga...,Germany,A1,1949
26-JUN-1949,Curtiss C-46A,Israeli AF,0.0,Avraham,Israel,A1,1949
02-JUL-1949,Douglas C-47A (DC-3),MacRobertson Miller Airlines,18.0,near Guildford Airpor...,Australia,A1,1949
02-JUL-1949,Douglas Dakota IV (DC-3),RAF,0.0,Singapore-Seleta...,Singapore,A1,1949
09-JUL-1949,Lockheed 18 Lodestar,Fairbanks Morse and Company,3.0,"near Roanoke, IL",USA,A1,1949
09-JUL-1949,Junkers Ju-52,French Navy,18.0,near Zaouit Massa,Morocco,A1,1949
11-JUL-1949,Douglas C-47A (DC-3),Hong Kong Airways,0.0,Hong Kong-Kai Ta...,Hong Kong,A1,1949
12-JUL-1949,Curtiss C-46E,Standard Airlines,35.0,"near Chatsworth, CA",USA,A1,1949
12-JUL-1949,Lockheed L-749-79-33 Constellation,KLM,45.0,near Bombay-Santacruz...,India,A1,1949
12-JUL-1949,Douglas C-54D (DC-4),USAF,3.0,near Rathenow,Germany,A1,1949
14-JUL-1949,Fairchild EC-82A Packet,USAF,1.0,Dayton-Wright Pa...,USA,A1,1949
14-JUL-1949,Douglas C-47A (DC-3),USAF,6.146275647879436,"Chicago, IL",USA,A1,1949
16-JUL-1949,Handley Page Hastings C.1,RAF,5.0,Berlin-Tegel Air...,Germany,A1,1949
16-JUL-1949,Douglas C-47B (DC-3),French AF,9.0,near Mersa Matruh,Egypt,A1,1949
19-JUL-1949,Curtiss C-46F,Air Transport Associates,6.146275647879436,Seattle-Boeing F...,USA,A1,1949
21-JUL-1949,Ilyushin Il-12P,"Aeroflot, Moscow",13.0,"near Marga, Nizhneudi...",Russia,A1,1949
22-JUL-1949,Consolidated PBY-5 Catalina,French Navy,17.0,near Agadir,Morocco,A1,1949
30-JUL-1949,Douglas DC-3-201D,Eastern Air Lines,15.0,"Chesterfield, NJ",USA,A1,1949
30-JUL-1949,Avro 685 York C.1,RAF,0.0,Wunstorf RAF Sta...,Germany,A1,1949
01-AUG-1949,Lisunov Li-2,"Aeroflot, Northern",2.0,near Naberezhniye Chelny,Russia,A1,1949
02-AUG-1949,Curtiss C-46D,Varig,5.0,"Jaquirana, RS",Brazil,A1,1949
03-AUG-1949,Douglas C-47A (DC-3),L.A. Brasileiras,0.0,"near Joinville, SC",Brazil,A1,1949
06-AUG-1949,Bristol 170 Freighter 21,Shell Ecuador,34.0,near Salasaca Hill,Ecuador,A1,1949
07-AUG-1949,Douglas DC-3A,Capital Airlines,0.0,"Milwaukee, WI",USA,A2,1949
09-AUG-1949,Douglas Dakota IV (DC-3),RAF,12.0,near Salalah Airport ...,Oman,A1,1949
10-AUG-1949,Curtiss C-46A,LAB,6.146275647879436,Rurrenabaque,Bolivia,A1,1949
11-AUG-1949,Convair CV-240-13,Northeast Airlines,0.0,Portland Airport...,USA,A1,1949
13-AUG-1949,Douglas C-47 (DC-3),SAETA,32.0,near BojacÃ¡,Colombia,A1,1949
14-AUG-1949,Douglas C-47A (DC-3),Turkish AF,7.0,near Ankara,Turkey,A1,1949
15-AUG-1949,Douglas C-54A (DC-4),Transocean Air Lines,8.0,near Lurga Point,Ireland,A1,1949
15-AUG-1949,Lockheed 18 Lodestar,Israeli AF,0.0,near Basse-Yutz,France,A1,1949
16-AUG-1949,Ford 5-AT-C Tri-Motor,LAGOSA,0.0,Putla,Mexico,A1,1949
16-AUG-1949,Avro Canada C102 Jetliner,Avro Canada,0.0,Toronto-Malton A...,Canada,A2,1949
19-AUG-1949,Douglas Dakota III (DC-3),BEA,24.0,near Manchester-Ringw...,U.K.,A1,1949
20-AUG-1949,Ilyushin Il-12,"Aeroflot, Georgia",8.0,"near Polukotelnikovo,...",Russia,A1,1949
21-AUG-1949,Amiot AAC.1 (Ju-52),CATI,3.0,Lao Kay,Vietnam,A1,1949
21-AUG-1949,PBV-1A Canso A (PBY-5A),RCAF,21.0,"Bigstone Lake, MB",Canada,A1,1949
22-AUG-1949,Douglas C-47A (DC-3),STAAP,1.0,near Laghouat,Algeria,A1,1949
24-AUG-1949,Douglas C-47D (DC-3),USAF,0.0,Guam-North Field...,Guam,A1,1949
25-AUG-1949,Ilyushin Il-12P,"Aeroflot, International",14.0,near Kabansk,Russia,A1,1949
27-AUG-1949,Douglas C-47B (DC-3),Sabena,5.0,LÃ©opoldville,D.R. Congo,A1,1949
27-AUG-1949,Catalina IVB (PBY-5A),"RAAF, op.for Qantas",6.146275647879436,"Rose Bay, Sydney...",Australia,A1,1949
28-AUG-1949,Douglas C-47 (DC-3),LAB,0.0,Cochabamba Airpo...,Bolivia,C1,1949
29-AUG-1949,Douglas Dakota IV (DC-3),RAF,0.0,North Luffenham ...,U.K.,A1,1949
31-AUG-1949,Bristol 170 Freighter IA,Argentine AF,0.0,"ItuzaingÃ³, BA",Argentina,A1,1949
01-SEP-1949,Douglas DC-3,TAJ,1.0,El Tuito,Mexico,A1,1949
02-SEP-1949,Douglas C-47D (DC-3),USAF,7.0,"near Anchorage, AK",USA,A1,1949
03-SEP-1949,Fairchild C-82A Packet,USAF,2.0,"near Collinsville, CA",USA,A1,1949
05-SEP-1949,Lisunov Li-2,MAP Omsk Aviation Plant,0.0,near Kazan-Borisogleb...,Russia,A1,1949
06-SEP-1949,Lockheed 18 Lodestar,LAB,6.146275647879436,Sucre,Bolivia,C1,1949
07-SEP-1949,Douglas Dakota IV (DC-3),RAF,3.0,near Taiping,Malaysia,A1,1949
09-SEP-1949,Douglas C-47 (DC-3),Canadian Pacific,23.0,Sault-aux-Cochon...,Canada,C1,1949
12-SEP-1949,Lockheed 18 Lodestar,LAB,0.0,Santa Cruz-El Tr...,Bolivia,C1,1949
13-SEP-1949,Douglas C-47A (DC-3),Cathay Pacific,0.0,Anisakan,Myanmar,A1,1949
13-SEP-1949,Douglas Dakota IV (DC-3),RAF,0.0,Netheravon RAF S...,U.K.,A1,1949
13-SEP-1949,Douglas Dakota IV (DC-3),RAF,6.146275647879436,unknown,Unknown country,A1,1949
13-SEP-1949,Douglas C-47D (DC-3),USAF,5.0,Barter Island Ai...,USA,A1,1949
16-SEP-1949,Lisunov Li-2,LOT,0.0,NykÃ¶ping-F11 AF...,Sweden,H2,1949
16-SEP-1949,Short Sunderland 3,French Navy,6.146275647879436,near Dakar,Senegal,A1,1949
20-SEP-1949,Ilyushin Il-12,"Aeroflot, Kazakstan",3.0,near Savasleyka,Russia,A1,1949
26-SEP-1949,Douglas DC-3A,Mexicana,24.0,Mount Popocatepetl,Mexico,A1,1949
26-SEP-1949,Handley Page Hastings C.1,RAF,3.0,Beacon Hill,U.K.,A1,1949
27-SEP-1949,Douglas C-54A (DC-4),FAMA,5.0,"near Castilla, BA",Argentina,A1,1949
29-SEP-1949,Lockheed 18 Lodestar,General Electric,0.0,"near Newark Airport, ...",USA,A1,1949
29-SEP-1949,Fairchild C-82A Packet,USAF,3.0,"near McCleary, WA",USA,A1,1949
30-SEP-1949,Consolidated PBY-5A Catalina,T.A. Bandeirantes,3.0,"Iguape, SP",Brazil,A1,1949
04-OCT-1949,Douglas Dakota IV (DC-3),RAF,0.0,Waterbeach RAF S...,U.K.,O1,1949
05-OCT-1949,Douglas C-47D (DC-3),USAF,9.0,"Mount Mitchell, NC",USA,A1,1949
08-OCT-1949,Douglas Dakota IV (DC-3),RAF,0.0,Tripoli-Castel B...,Libya,A1,1949
09-OCT-1949,Curtiss C-46E,Slick Airways,3.0,near Cheyenne Airport...,USA,A1,1949
09-OCT-1949,Douglas C-47A (DC-3),USAF,0.0,Isachsen Airstri...,Canada,A1,1949
10-OCT-1949,Douglas DC-3-277B,AerovÃ­as Coahuila,8.0,near Saltillo,Mexico,A1,1949
14-OCT-1949,Curtiss C-46A,Brazilian AF,0.0,near Machacamarca,Bolivia,A1,1949
16-OCT-1949,Fiat G.212CP,SAIDE,0.0,Alexandria Airpo...,Egypt,A1,1949
18-OCT-1949,SNCASE SE.200,Unknown,0.0,"Ãtang de Berre,...",France,A1,1949
20-OCT-1949,Douglas C-54A (DC-4),Air France,0.0,near Karachi Airport ...,Pakistan,A1,1949
22-OCT-1949,Douglas C-47A (DC-3),STA,6.146275647879436,Malakal,South Sudan,A1,1949
22-OCT-1949,Lockheed 18 Lodestar,Golden Airways,0.0,San Diego Intern...,USA,O1,1949
25-OCT-1949,Bristol 170 Freighter IA,Argentine AF,6.0,Bolson de Burruy...,Argentina,A1,1949
28-OCT-1949,Lockheed L-749-79-46 Constellation,Air France,48.0,Redondo Mountain...,Portugal,A1,1949
28-OCT-1949,Grumman G-73 Mallard,Superior Oil Corp.,6.0,London Heathrow ...,U.K.,A1,1949
01-NOV-1949,Douglas C-54B (DC-4),Eastern Air Lines,55.0,near Washington-Natio...,USA,A1,1949
01-NOV-1949,Lisunov Li-2P,Maszovlet,6.0,PÃ©cs/Pogany Air...,Hungary,A1,1949
03-NOV-1949,Short Sunderland V,French Navy,4.0,near Toulon,France,A1,1949
04-NOV-1949,Douglas R4D-1 (DC-3),Harrington's Inc,3.0,Akron/Canton Air...,USA,A1,1949
04-NOV-1949,Lockheed 18 Lodestar,Pacific Petroleum,0.0,Calgary Municipa...,Canada,A1,1949
04-NOV-1949,Fairchild C-82A Packet,USAF,6.146275647879436,near Shreveport-Barks...,USA,A1,1949
07-NOV-1949,Avro 691 Lancastrian C.1,BOAC,6.146275647879436,Tripoli-Castel B...,Libya,U1,1949
08-NOV-1949,Douglas C-47B (DC-3),Civil Air Transport,6.146275647879436,near Mengzi,China,A1,1949
11-NOV-1949,Curtiss C-46,T.A. Transandino,6.146275647879436,Las Piedros,Venezuela,U1,1949
13-NOV-1949,Douglas C-47A (DC-3),Burmese AF,6.146275647879436,Lanywa,Myanmar,A1,1949
15-NOV-1949,Avro 685 York C.1,RAF,0.0,Nairobi-Civil Ai...,Kenya,A1,1949
16-NOV-1949,Lisunov Li-2,"Aeroflot, North Kavkaz",0.0,Moskva-Vnukovo A...,Russia,A1,1949
17-NOV-1949,Douglas C-47A (DC-3),Trans Asiatic Airlines,6.146275647879436,Yangon-Mingalado...,Myanmar,A1,1949
19-NOV-1949,Douglas C-47A (DC-3),Meteor Air Transport,6.146275647879436,"Detroit, MI",USA,A2,1949
20-NOV-1949,Douglas C-47A (DC-3),Aero Holland,34.0,near Oslo-Fornebu Air...,Norway,A1,1949
20-NOV-1949,Short Sunderland GR.5,RAF,5.0,Seletar Island,Singapore,A1,1949
22-NOV-1949,Douglas C-54D (DC-4),USAF,6.0,"near Kelso, WA",USA,A1,1949
24-NOV-1949,Bristol 170 Freighter 21E,Aviaco,0.0,Menorca-MahÃ³n A...,Spain,A1,1949
26-NOV-1949,Douglas C-47 (DC-3),LANSA,12.0,PÃ¡ramo Bogueche,Colombia,A1,1949
27-NOV-1949,Douglas C-47B (DC-3),Aigle Azur,10.0,near Dong Khe,Vietnam,C1,1949
28-NOV-1949,Douglas C-54A (DC-4),Air France,5.0,near Saint-Just-Chale...,France,A1,1949
28-NOV-1949,Vickers Valetta C.1,RAF,6.146275647879436,Deversoir RAF St...,Egypt,A1,1949
29-NOV-1949,Douglas DC-6,American Airlines,28.0,Dallas-Love Fiel...,USA,A1,1949
??-NOV-1949,Savoia-Marchetti SM-95C,LATI,0.0,"Villa Cisneros, ...",Morocco,A2,1949
01-DEC-1949,Douglas C-47 (DC-3),REAL,20.0,"RibeirÃ£o Claro, PR",Brazil,A1,1949
02-DEC-1949,PB2B-1 Canso B,Bataafse Petroleum Mij.,6.0,Muntok Bay,Indonesia,A1,1949
04-DEC-1949,Curtiss C-46,Civil Air Transport,0.0,Guangxi province,China,A1,1949
07-DEC-1949,Douglas C-47A (DC-3),California Arrow Airlines,9.0,"near Vallejo, CA",USA,A1,1949
09-DEC-1949,Curtiss C-46D,Civil Air Transport,38.0,near Lanzhou,China,A1,1949
09-DEC-1949,Douglas DC-3,TARS,1.0,Beograd-Dojno Po...,Serbia,H2,1949
09-DEC-1949,Douglas C-47 (DC-3),Unknown,8.0,near Baja California,Mexico,A1,1949
10-DEC-1949,Curtiss C-46D,Civil Air Transport,17.0,Haikou,China,A1,1949
12-DEC-1949,Douglas DC-3-313A,Capital Airlines,6.0,near Washington-Natio...,USA,A1,1949
12-DEC-1949,Douglas C-53 (DC-3),Pakair,26.0,Jungshahi,Pakistan,A1,1949
16-DEC-1949,Douglas DC-3A,Mexicana,17.0,Orizaba,Mexico,A1,1949
16-DEC-1949,Douglas DC-3,LOT,0.0,Bornholm-RÃ¸nne ...,Denmark,H2,1949
18-DEC-1949,Douglas C-47A (DC-3),Sabena,8.0,Aulnay-sous-Bois,France,A1,1949
18-DEC-1949,Lockheed L-049 Constellation,TWA,0.0,Chicago Municipa...,USA,A2,1949
19-DEC-1949,Douglas C-47A (DC-3),Aerovias Brasil,6.0,"near Vitoria, ES",Brazil,A1,1949
21-DEC-1949,Douglas C-47A (DC-3),Air Ceylon,0.0,Tiruchirappalli-...,India,A1,1949
22-DEC-1949,Douglas R4D-7 (DC-3),US Navy,0.0,"near Edenton MCAS, NC",USA,A1,1949
23-DEC-1949,Avro 691 Lancastrian C.3,Alitalia,0.0,Dakar-Yoff Airpo...,Senegal,A1,1949
25-DEC-1949,Lisunov Li-2,"Aeroflot, Uzbekistan",0.0,near Aktyubinsk Airpo...,Kazakhstan,A1,1949
30-DEC-1949,Douglas C-54A (DC-4),Bharat Airways,6.146275647879436,Comilla,Bangladesh,A1,1949
30-DEC-1949,Lisunov Li-2,"Aeroflot, Moscow",3.0,near Sverdlovsk-Kolts...,Russia,A1,1949
??-???-1949,Lisunov Li-2P,Maszovlet,0.0,MÃ¼nchen-Riem Ai...,Germany,H2,1949
01-JAN-1950,Lockheed 414-08 Hudson IVA,John Fairfax & Sons,2.0,"near Camden Airport, ...",Australia,A1,1950
05-JAN-1950,Curtiss C-46A,Comp. ItaÃº de Transportes AÃ©reos,0.0,"Itaquaquecetuba, SP",Brazil,A1,1950
05-JAN-1950,Lisunov Li-2,Soviet AF,19.0,Sverdlovsk-Kolts...,Russia,A1,1950
06-JAN-1950,Douglas VC-47A (DC-3),USAF,0.0,Ankara,Turkey,A1,1950
10-JAN-1950,Douglas C-47B (DC-3),Air Nolis,6.146275647879436,near Zinder,Niger,A1,1950
18-JAN-1950,Douglas DC-3,Trans Asiatic Airlines,0.0,Yangon-Mingalado...,Myanmar,A1,1950
18-JAN-1950,CASA 352 (Ju-52),Spanish AF,16.0,near Tobarra,Spain,A1,1950
21-JAN-1950,Douglas C-47 (DC-3),TAM,6.146275647879436,near Vacas,Bolivia,A1,1950
22-JAN-1950,Douglas DC-4-1009,Air France,0.0,Paris-Orly Airpo...,France,O1,1950
24-JAN-1950,Douglas C-47A (DC-3),Philippine Air Lines,4.0,between Iloilo a...,Philippines,A1,1950
24-JAN-1950,Douglas C-47A (DC-3),STA,14.0,near Tamatave,Madagascar,A1,1950
25-JAN-1950,Douglas C-47A (DC-3),"Air Services of India, opb Airways (India)",2.0,Shella Airstrip,India,A1,1950
26-JAN-1950,Douglas C-54D (DC-4),USMC,44.0,"near Snag, YT",Canada,A1,1950
30-JAN-1950,Douglas C-47B (DC-3),Air Nolis,6.146275647879436,Le Treport,France,U1,1950
