,date,type,operator,fatalities,location,country,cat,year,is_fatal,decade,severity
17380,17-JUN-1993,Antonov An-26B,Tajikistan Airlines,33.0,near Tbilisi,Georgia,A1,1993,1,1990,Medium Fatalities
17381,17-JUN-1993,Padc/Bn-2T Islander,National Power Corp.,0.0,near Manila-Ninoy Aqu...,Philippines,A2,1993,0,1990,No Fatalities
17382,21-JUN-1993,Dc-9-32,Garuda,0.0,Denpasar Bali-Ng...,Indonesia,A1,1993,0,1990,No Fatalities
17383,22-JUN-1993,Antonov An-24B,"Aeroflot, Yakutsk",0.0,Yakutsk Airport ...,Russia,A2,1993,0,1990,No Fatalities
17384,23-JUN-1993,Bn-2T Turbine Islander,Shabair,0.0,Mitwaba,D.R. Congo,A1,1993,0,1990,No Fatalities
17385,24-JUN-1993,Antonov An-26,Polyot / Aeroflot,0.0,Samara Airport (...,Russia,A2,1993,0,1990,No Fatalities
17386,24-JUN-1993,Boeing 737-2T4,Xiamen Airlines,0.0,Taipei,Taiwan,H2,1993,0,1990,No Fatalities
17387,25-JUN-1993,Iai Arava 201,Mexican AF,4.0,within El Venadito Rive...,Mexico,A1,1993,1,1990,Low Fatalities
17388,28-JUN-1993,Beech 200 Super King Air,Trans Namibia Aviation,3.0,Aminius,Namibia,A1,1993,1,1990,Low Fatalities
17389,01-JUL-1993,Fokker F-28 Fellowship 3000,Merpati Nusantara,41.0,near Sorong-Jefman Ai...,Indonesia,A1,1993,1,1990,Medium Fatalities
17390,04-JUL-1993,Fokker F-28 Fellowship 3000,Royal Swazi,0.0,Johannesburg-Jan...,South Africa,H2,1993,0,1990,No Fatalities
17391,05-JUL-1993,Ilyushin Il-114,Ilyushin,5.0,Ramenskoye,Russia,A1,1993,1,1990,Low Fatalities
17392,06-JUL-1993,Casa C-212-A62 Aviocar 200,Transkei Army,2.0,Mthatha,South Africa,A1,1993,1,1990,Low Fatalities
17393,08-JUL-1993,Ilyushin Il-76M,Russian AF,11.0,near Pskov Airport (PKV),Russia,A1,1993,1,1990,Medium Fatalities
17394,10-JUL-1993,Hawker Siddeley Hs-748,Air Manitoba,0.0,Big Sand Lake Ai...,Canada,A2,1993,0,1990,No Fatalities
17395,15-JUL-1993,Beech 300 Super King Air,National Remote Sensing Agency,4.0,near Bombay-Sahar Int...,India,A1,1993,1,1990,Low Fatalities
17396,18-JUL-1993,Boeing 737-2H6,SAHSA,0.0,Managua-Augusto ...,Nicaragua,A1,1993,0,1990,No Fatalities
17397,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17398,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17399,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17400,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17401,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17402,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17403,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17404,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17405,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17406,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17407,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
17408,20-JUL-1993,Cessna T-47A Citation Ii,Cessna Aircraft,0.0,Topeka-Forbes Fi...,USA,O1,1993,0,1990,No Fatalities
