,date,type,operator,fatalities,location,country,cat,year,is_fatal,decade,severity
61,02-AUG-1919,Caproni Ca.48,Caproni,14.0,Verona,Italy,A1,1919,1,1910,Medium Fatalities
62,11-AUG-1919,Felixstowe Fury,RAF,1.0,near Felixtowe RNAS,U.K.,A1,1919,1,1910,Low Fatalities
63,23-FEB-1920,Handley Page O/7,Handley Page Transport,0.0,"Acadia Siding, C...",South Africa,A1,1920,0,1920,No Fatalities
64,25-FEB-1920,Handley Page O/400,Handley Page Transport,0.0,near El Shereik,Sudan,A1,1920,0,1920,No Fatalities
65,30-JUN-1920,Handley Page O/400,Handley Page Transport,0.0,ÃstanÃ¥,Sweden,A1,1920,0,1920,No Fatalities
66,14-DEC-1920,Handley Page O/400,Handley Page Transport,4.0,Golders Green,U.K.,A1,1920,1,1920,Low Fatalities
67,15-JAN-1921,Aeromarine 75,Aeromarine Airways,0.0,Havana harbour,Cuba,O1,1921,0,1920,No Fatalities
68,02-MAR-1921,Handley Page O/7,HP Indo-Burmese Transport,0.0,Meerut,India,O1,1921,0,1920,No Fatalities
69,04-MAR-1921,Caproni Ca.60 Noviplano,Caproni,0.0,Lago Maggiore,Italy,A1,1921,0,1920,No Fatalities
70,26-AUG-1921,Farman F.60 Goliath,SNETA,2.0,near Calais [The Engl...,France,A1,1921,1,1920,Low Fatalities
71,27-SEP-1921,Farman F.60 Goliath,SNETA,0.0,Evere Airfield,Belgium,O1,1921,0,1920,No Fatalities
72,27-SEP-1921,Farman F.60 Goliath,SNETA,0.0,Evere Airfield,Belgium,O1,1921,0,1920,No Fatalities
73,30-DEC-1921,Handley Page O/10,Handley Page Transport,6.146275647879436,Berck-sur-Mer,France,U1,1921,1,1920,Low Fatalities
74,22-JAN-1922,Handley Page O/10,Handley Page Transport,0.0,near Senlis,France,A1,1922,0,1920,No Fatalities
75,31-MAR-1922,Handley Page O/7,Chinese Government,14.0,near Beijing-Nanyuan ...,China,A1,1922,1,1920,Medium Fatalities
76,07-APR-1922,Farman F.60 Goliath,Grands Express AÃ©riens,5.0,Thieuloy-Saint-A...,France,A1,1922,1,1920,Low Fatalities
77,13-JAN-1923,Aeromarine 75,Aeromarine Airways,4.0,"near Havana, Cuba",Atlantic Ocean,A1,1923,1,1920,Low Fatalities
78,14-MAY-1923,Farman F.60 Goliath,Air Union,6.0,"Monsures, Somme",France,A1,1923,1,1920,Low Fatalities
79,25-JUN-1923,Farman F.60 Goliath,Air Union,0.0,near Ãtaples,France,A1,1923,0,1920,No Fatalities
80,10-JUL-1923,Handley Page W.8,Handley Page Transport,0.0,Poix,France,A1,1923,0,1920,No Fatalities
81,15-JUL-1923,Farman F.60 Goliath,Compagnie AÃ©rienne FranÃ§aise,0.0,near Valenciennes,France,A1,1923,0,1920,No Fatalities
82,27-AUG-1923,Farman F.60 Goliath,Air Union,1.0,"East Malling, Kent",U.K.,A1,1923,1,1920,Low Fatalities
83,03-DEC-1923,Farman F.60 Goliath,Air Union,6.146275647879436,"Littlestone, Kent",U.K.,A1,1923,1,1920,Low Fatalities
84,??-???-1923,Aeromarine 75,Aeromarine Airways,0.0,Havana harbour,Cuba,O1,1923,0,1920,No Fatalities
85,22-JAN-1924,Farman F.60 Goliath,Air Union,6.146275647879436,London-Croydon A...,U.K.,A1,1924,1,1920,Low Fatalities
86,06-AUG-1924,Farman F.60 Goliath,Air Union,0.0,"Golden Green, ne...",U.K.,A2,1924,0,1920,No Fatalities
87,24-AUG-1924,Farman F.61 Goliath,SGTA,0.0,near Amsterdam-Schiph...,Netherlands,A1,1924,0,1920,No Fatalities
88,16-OCT-1925,Farman F.60 Goliath,Air Union,3.0,"Wadhurst, East S...",U.K.,A1,1925,1,1920,Low Fatalities
89,14-NOV-1925,Farman F.60 Goliath,Air Union,0.0,near Boulogne [Englis...,France,A2,1925,0,1920,No Fatalities
90,18-AUG-1926,Blã©Riot 155,Air Union,4.0,"Hurst, near Ashf...",U.K.,A1,1926,1,1920,Low Fatalities
91,02-OCT-1926,Blã©Riot 155,Air Union,7.0,"Leigh, Kent",U.K.,A1,1926,1,1920,Low Fatalities
92,21-OCT-1926,Handley Page W.10,Imperial Airways,0.0,English Channel,U.K.,A1,1926,0,1920,No Fatalities
93,20-NOV-1926,Junkers G.24,Deutsche Lufthansa,6.146275647879436,KÃ¶nigsberg,Germany,A1,1926,1,1920,Low Fatalities
94,05-MAY-1927,Farman F.61 Goliath,SGTA,2.0,Atlantic Ocean,Atlantic Ocean,A1,1927,1,1920,Low Fatalities
95,22-AUG-1927,Fokker F.Viii,KLM,1.0,"St. Julians, Sev...",U.K.,A1,1927,1,1920,Low Fatalities
96,15-FEB-1928,Handley Page W.8B,Imperial Airways,0.0,near Abbeville,France,A1,1928,0,1920,No Fatalities
97,11-MAR-1928,Farman F.60 Goliath,Air Union,2.0,"near Folkestone, Kent...",U.K.,A1,1928,1,1920,Low Fatalities
98,11-APR-1928,Fokker F.Viii,KLM,0.0,Nigtevecht,Netherlands,A1,1928,0,1920,No Fatalities
99,19-APR-1928,Junkers G.24,Deutsche Lufthansa,0.0,Spaichingen,Germany,A1,1928,0,1920,No Fatalities
100,12-MAY-1928,Ford 4-At-A Tri-Motor,Ford Air Freight Lines,2.0,"Dearborn, MI",USA,A1,1928,1,1920,Low Fatalities
101,23-MAY-1928,Farman F.63Bis Goliath,SGTA,3.0,near KÃ¶ln-Butzweiler...,Germany,A1,1928,1,1920,Low Fatalities
102,25-AUG-1928,Ford 4-At-B Tri-Motor,British Columbia Airways,7.0,"near Port Townsend, WA",USA,A1,1928,1,1920,Low Fatalities
103,25-SEP-1928,Junkers G.31De,Deutsche Lufthansa,0.0,Arnsberg,Germany,A1,1928,0,1920,No Fatalities
104,13-OCT-1928,Ford 4-At-A Tri-Motor,Stout Air Services,0.0,"Detroit, MI",USA,A1,1928,0,1920,No Fatalities
105,23-NOV-1928,Ford 4-At-B Tri-Motor,Spokane Airways,3.0,"Moran Prairie, S...",USA,A1,1928,1,1920,Low Fatalities
106,01-DEC-1928,Ford 4-At-C Tri-Motor,Sunbeam Air Transport Co.,5.0,"near Spur, TX",USA,A1,1928,1,1920,Low Fatalities
107,11-DEC-1928,Junkers G.31Fi,Deutsche Lufthansa,3.0,Letzlingen,Germany,A1,1928,1,1920,Low Fatalities
108,22-DEC-1928,Ford 4-At-A Tri-Motor,Texaco,0.0,"Floresville, TX",USA,A1,1928,0,1920,No Fatalities
110,16-JAN-1929,Ford 4-At-A Tri-Motor,Stout Air Services,0.0,"near Toledo, OH",USA,A1,1929,0,1920,No Fatalities
111,??-FEB-1929,Junkers G.24,Deutsche Lufthansa,6.146275647879436,"Epinais, Bretagne",France,A1,1929,1,1920,Low Fatalities
112,17-MAR-1929,Ford 4-At-B Tri-Motor,Colonial Western Airlines,14.0,"near Newark Airport, ...",USA,A1,1929,1,1920,Medium Fatalities
113,19-MAR-1929,Ford 5-At-B Tri-Motor,Ford Motor Company,4.0,"Dearborn, MI",USA,A1,1929,1,1920,Low Fatalities
114,12-APR-1929,Dornier Do R4 Superwal,SANA,0.0,near Napoli,Italy,O1,1929,0,1920,No Fatalities
115,21-APR-1929,Ford 5-At-B Tri-Motor,Maddux Airlines,6.146275647879436,near San Diego Airpor...,USA,A1,1929,1,1920,Low Fatalities
116,16-MAY-1929,Vickers 170 Vanguard,Vickers-Armstrongs,2.0,Shepperton,U.K.,A1,1929,1,1920,Low Fatalities
117,19-MAY-1929,Farman F.63Bis Goliath,Air Union,0.0,"Paddock Wood, Kent",U.K.,A1,1929,0,1920,No Fatalities
118,02-JUN-1929,Fokker F.10A,Western Air Express,0.0,"Wichita, KS",USA,O1,1929,0,1920,No Fatalities
119,13-JUN-1929,Fokker F.10A,Pan Am,2.0,Santiago Airport...,Cuba,A1,1929,1,1920,Low Fatalities
120,17-JUN-1929,Handley Page W.10,Imperial Airways,7.0,near Dungeness,U.K.,A1,1929,1,1920,Low Fatalities
121,24-JUN-1929,Ford 5-At-A Tri-Motor,Northwest Airways,1.0,"Saint Paul, MN",USA,A1,1929,1,1920,Low Fatalities
122,29-AUG-1929,Junkers G.24Li,AB Aerotransport,0.0,Emsland,Germany,A1,1929,0,1920,No Fatalities
123,03-SEP-1929,Ford 5-At-B Tri-Motor,Transcontinental Air Transport - TAT,8.0,"near Gallup, NM",USA,A1,1929,1,1920,Low Fatalities
124,06-SEP-1929,Dh.66 Hercules,Imperial Airways,3.0,Jask Airport,Iran,A1,1929,1,1920,Low Fatalities
125,10-SEP-1929,Rohrbach Ro X Romar I,Deutsche Lufthansa,0.0,near GrÃ¶mitz,Germany,A1,1929,0,1920,No Fatalities
126,19-OCT-1929,Sabca (Handley Page) W.8B,Sabena,0.0,Edegem,Belgium,A1,1929,0,1920,No Fatalities
127,26-OCT-1929,Short S.8/1 Calcutta,Imperial Airways,7.0,near La Spezia,Italy,A1,1929,1,1920,Low Fatalities
129,06-NOV-1929,Junkers G.24Bi,Deutsche Lufthansa,7.0,"near Godstone, Surrey",U.K.,A1,1929,1,1920,Low Fatalities
130,18-NOV-1929,Rohrbach Ro X Romar I,Deutsche Lufthansa,0.0,LÃ¼beck-TravemÃ¼...,Germany,A1,1929,0,1920,No Fatalities
131,27-NOV-1929,Fokker F.32,Fokker Aircraft Corp. of America,0.0,near Hempstead-Roosev...,USA,A1,1929,0,1920,No Fatalities
132,04-DEC-1929,Curtiss B-2 Condor (Condor 18),USAAC,1.0,"Goodwater, AL",USA,A1,1929,1,1920,Low Fatalities
133,12-DEC-1929,Farman F.180T,SGTA,0.0,Toussus-le-Noble,France,O1,1929,0,1920,No Fatalities
134,26-DEC-1929,Fokker F.10,Western Air Express,0.0,Oakland Municipa...,USA,A1,1929,0,1920,No Fatalities
135,19-JAN-1930,Ford 5-At-C Tri-Motor,Maddux Airlines,16.0,"Oceanside, CA",USA,A1,1930,1,1930,Medium Fatalities
136,07-FEB-1930,Junkers R-42 (G.24),Chilean AF,2.0,near Punta Arenas,Chile,A1,1930,1,1930,Low Fatalities
137,08-FEB-1930,Ford 4-At-A Tri-Motor,Private,0.0,"San Marcos, TX",USA,A1,1930,0,1930,No Fatalities
138,10-FEB-1930,Farman F.63Bis Goliath,Air Union,2.0,"Marden, Kent",U.K.,A1,1930,1,1930,Low Fatalities
139,14-FEB-1930,Dh.66 Hercules,Imperial Airways,0.0,Gaza,Israel,A1,1930,0,1930,No Fatalities
140,23-FEB-1930,Fokker F.10A,Western Air Express,3.0,"near San Bernardino, CA",USA,A1,1930,1,1930,Low Fatalities
141,02-MAR-1930,Ford 4-At-A Tri-Motor,NYRBA,0.0,Cordoba,Argentina,A1,1930,0,1930,No Fatalities
142,08-APR-1930,Ford 5-At-C Tri-Motor,Tri-Motor Safety Airways,6.146275647879436,Buenos Aires,Argentina,A1,1930,1,1930,Low Fatalities
143,31-MAY-1930,Handley Page W.9A Hampstead,Ellyou Goldfields Development,6.146275647879436,Mount Misim,P.N. Guinea,A1,1930,1,1930,Low Fatalities
144,05-JUN-1930,Ford 5-At-B Tri-Motor,Colonial Air Transport,1.0,"Boston, MA",USA,A1,1930,1,1930,Low Fatalities
145,25-JUN-1930,Ford 5-At-A Tri-Motor,Northwest Airways,0.0,Chicago Municipa...,USA,O1,1930,0,1930,No Fatalities
146,25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,O1,1930,0,1930,No Fatalities
147,25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,O1,1930,0,1930,No Fatalities
148,25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,O1,1930,0,1930,No Fatalities
149,25-JUN-1930,Fokker F.10A,Universal Airlines,0.0,"Chicago, IL",USA,O1,1930,0,1930,No Fatalities
150,25-JUN-1930,Fokker F.10,Shell Oil,0.0,"Chicago, IL",USA,O1,1930,0,1930,No Fatalities
151,25-JUN-1930,Fokker F.10,Northern Airlines,0.0,"Chicago, IL",USA,O1,1930,0,1930,No Fatalities
152,09-JUL-1930,Farman F.63Bis Goliath,SGTA,1.0,Aalsmeer,Netherlands,A1,1930,1,1930,Low Fatalities
153,12-JUL-1930,Curtiss Condor 18,Curtiss,6.146275647879436,"Valley Stream, NY",USA,A1,1930,1,1930,Low Fatalities
154,04-AUG-1930,Ford Jr-3 (5-At-C) Tri-Motor,USMC,0.0,"Ocotal, Nueva Se...",Nicaragua,A1,1930,0,1930,No Fatalities
155,22-AUG-1930,Ford 5-At-C Tri-Motor,CSA,12.0,Jihlava (Iglau),Czech Rep.,A1,1930,1,1930,Medium Fatalities
156,03-SEP-1930,Fokker F.10A,Pan Am,0.0,Santo Domingo,Dominican Rep.,O1,1930,0,1930,No Fatalities
157,30-OCT-1930,Handley Page W.8G,Imperial Airways,3.0,"Boulogne, Paris",France,A1,1930,1,1930,Low Fatalities
158,07-NOV-1930,Junkers G.24,Syndicato Condor,1.0,"near Iguape, SP",Brazil,A1,1930,1,1930,Low Fatalities
159,21-NOV-1930,Ford 4-At-B Tri-Motor,Curtiss-Wright Flying Service,0.0,"Burbank, CA",USA,O1,1930,0,1930,No Fatalities
160,21-NOV-1930,Dornier Do R4 Superwal,SANA,6.0,"near Cap de Creus, Spain",Mediterranean Sea,A1,1930,1,1930,Low Fatalities
161,22-NOV-1930,Fokker F.10A,Southern Air Fast Express,6.146275647879436,Dallas-Love Fiel...,USA,U1,1930,1,1930,Low Fatalities
162,24-NOV-1930,Ford 5-At-C Tri-Motor,Ford Motor Company,2.0,"Dearborn, MI",USA,A1,1930,1,1930,Low Fatalities
163,20-DEC-1930,Ford 4-At-E Tri-Motor,Pittsburgh Airways,6.146275647879436,"Jennerstown, PA",USA,A1,1930,1,1930,Low Fatalities
164,22-DEC-1930,Fokker F.10,Western Air Express,0.0,"Alhambra, CA",USA,A1,1930,0,1930,No Fatalities
166,27-JAN-1931,Ford 5-At-B Tri-Motor,TWA,0.0,"Harrisburg, PA",USA,A1,1931,0,1930,No Fatalities
167,21-FEB-1931,Ford Tri-Motor,Panagra,0.0,Arequipa Airport...,Peru,H2,1931,0,1930,No Fatalities
168,31-MAR-1931,Fokker F.10A,TWA,8.0,"near Bazaar, KS",USA,A1,1931,1,1930,Low Fatalities
169,01-APR-1931,Ford 5-At-C Tri-Motor,Panagra,0.0,Ovalle Airport (...,Chile,A1,1931,0,1930,No Fatalities
170,17-APR-1931,Ford 5-At-C Tri-Motor,Private,0.0,"near Mohania, Bihar",India,A1,1931,0,1930,No Fatalities
171,18-APR-1931,Junkers F.24Ko (G.24),Deutsche Lufthansa,0.0,Gex (Ain),France,A2,1931,0,1930,No Fatalities
172,19-APR-1931,Dh.66 Hercules,Imperial Airways,0.0,near Kupang,Indonesia,A1,1931,0,1930,No Fatalities
173,22-APR-1931,A.W. Argosy Ii,Imperial Airways,0.0,London-Croydon A...,U.K.,A1,1931,0,1930,No Fatalities
174,29-APR-1931,Ford 5-At-C Tri-Motor,National Air Transport,0.0,"near Elyria, OH",USA,A1,1931,0,1930,No Fatalities
175,11-JUN-1931,Junkers G.24,AB Aerotransport,0.0,MalmÃ¶-Bulltofta...,Sweden,O1,1931,0,1930,No Fatalities
176,16-JUN-1931,A.W. Argosy Ia,Imperial Airways,0.0,Aswan,Egypt,A1,1931,0,1930,No Fatalities
177,04-AUG-1931,Fokker F.Ix,KLM,0.0,Rotterdam-Waalha...,Netherlands,A1,1931,0,1930,No Fatalities
178,07-AUG-1931,Fokker F.10A,Mexicana,6.146275647879436,"Miami, FL",USA,A1,1931,1,1930,Low Fatalities
179,09-AUG-1931,Ford 5-At-B Tri-Motor,American Airways,6.0,"Cincinnati, OH",USA,A1,1931,1,1930,Low Fatalities
180,19-AUG-1931,Ford 5-At-B Tri-Motor,TWA,0.0,"Pittsburgh, PA",USA,A1,1931,0,1930,No Fatalities
181,27-AUG-1931,Sikorsky S.41B,Boston-Maine Airways,1.0,"near Gloucester, MA",USA,A1,1931,1,1930,Low Fatalities
182,19-SEP-1931,Ford Xb-906 (Tri-Motor),Ford Motor Company,2.0,"near Dearborn, MI",USA,A1,1931,1,1930,Low Fatalities
183,27-OCT-1931,Ford 5-At-C Tri-Motor,National Air Transport,0.0,"Ashley, IN",USA,A1,1931,0,1930,No Fatalities
184,19-DEC-1931,Ford 4-At-E Tri-Motor,TWA,1.0,"Oklahoma City, OK",USA,A1,1931,1,1930,Low Fatalities
185,08-FEB-1932,Fokker F.10A,Transamerican Airlines,6.146275647879436,"Detroit, MI",USA,O1,1932,1,1930,Low Fatalities
186,15-MAR-1932,Ford 4-At-B Tri-Motor,Skyway,0.0,Blackwell Airpor...,USA,O1,1932,0,1930,No Fatalities
187,19-MAR-1932,Fokker F.10A,American Airways,7.0,"Calimesa, CA",USA,A1,1932,1,1930,Low Fatalities
188,27-JUN-1932,Junkers Ps-5 (G.24),Dobrolet,6.146275647879436,Nizhnetambovsk,Russia,A1,1932,1,1930,Low Fatalities
189,10-JUL-1932,Boeing 80A,Boeing Air Transport,0.0,"Sterling, IL",USA,A1,1932,0,1930,No Fatalities
190,16-JUL-1932,Ford 5-At-C Tri-Motor,Panagra,9.0,near Vitacura,Chile,A1,1932,1,1930,Low Fatalities
191,29-JUL-1932,Junkers Ju-52/3Mce,Deutsche Lufthansa,0.0,near Schleissheim Aer...,Germany,A2,1932,0,1930,No Fatalities
192,31-AUG-1932,Junkers G.24,AB Aerotransport,2.0,Tubbergen,Netherlands,A1,1932,1,1930,Low Fatalities
193,08-SEP-1932,Fokker F.10A,American Airways,3.0,"near Salt Flat, TX",USA,A1,1932,1,1930,Low Fatalities
194,17-SEP-1932,Liorã© Et Olivier 212,Air Union,1.0,Selsdon Park,U.K.,A1,1932,1,1930,Low Fatalities
195,02-OCT-1932,Ford 5-At-B Tri-Motor,Pan Am,0.0,"El Aceituno, Cho...",Honduras,A1,1932,0,1930,No Fatalities
196,26-OCT-1932,Ford 5-At-D Tri-Motor,LAB,2.0,"Villamontes, Gra...",Bolivia,A1,1932,1,1930,Low Fatalities
197,11-DEC-1932,Fokker F.10A,Western Air Express,6.146275647879436,"Lynndyl, UT",USA,U1,1932,1,1930,Low Fatalities
198,14-DEC-1932,Ford 5-At-B Tri-Motor,TWA,2.0,Amarillo-English...,USA,A1,1932,1,1930,Low Fatalities
199,13-JAN-1933,Liorã© Et Olivier 213,Air Union,0.0,Poix-de-Picardie,France,A1,1933,0,1930,No Fatalities
200,14-JAN-1933,Curtiss Condor 18,Eastern Air Transport,2.0,"Newark, NJ",USA,A1,1933,1,1930,Low Fatalities
201,24-JAN-1933,Ford 5-At-D Tri-Motor,Pacific Air Transport,2.0,"Eugene, OR",USA,A1,1933,1,1930,Low Fatalities
202,10-FEB-1933,Ford 5-At-B Tri-Motor,TWA,0.0,"Bakersfield, CA",USA,A1,1933,0,1930,No Fatalities
203,22-MAR-1933,Ford Jr-3 (5-At-C) Tri-Motor,USMC,0.0,"Virginia Beach, VA",USA,A1,1933,0,1930,No Fatalities
204,28-MAR-1933,A.W. Argosy Ii,Imperial Airways,15.0,near Diksmuide,Belgium,A1,1933,1,1930,Medium Fatalities
205,31-MAR-1933,Ford 4-At-B Tri-Motor,Private,7.0,"near Neodesha, KS",USA,A1,1933,1,1930,Low Fatalities
206,27-MAY-1933,Junkers Ju-52/1Mcai,RDL,6.146275647879436,Zechliner HÃ¼tte,Germany,A1,1933,1,1930,Low Fatalities
207,02-JUN-1933,Ford 4-At-E Tri-Motor,Plane Speaker Corporation,0.0,Hempstead-Roosev...,USA,O1,1933,0,1930,No Fatalities
208,11-AUG-1933,Dornier Do R4 Superwal,SANA,0.0,near Valencia,Spain,A1,1933,0,1930,No Fatalities
210,29-AUG-1933,Ford 5-At-B Tri-Motor,TWA,5.0,"near Quay, NM",USA,A1,1933,1,1930,Low Fatalities
211,21-SEP-1933,Curtiss T-32 Condor Ii,Eastern Air Transport,0.0,"Newark, NJ",USA,A1,1933,0,1930,No Fatalities
212,18-OCT-1933,Ford 4-At-B Tri-Motor,Private,3.0,Managua,Nicaragua,A1,1933,1,1930,Low Fatalities
213,16-NOV-1933,Liorã© Et Olivier 213,Air France,0.0,near Beauvais,France,A1,1933,0,1930,No Fatalities
214,21-NOV-1933,Kalinin K-7,Kalinin Design Bureau,6.146275647879436,near Kharkov,Ukraine,A1,1933,1,1930,Low Fatalities
215,24-NOV-1933,Fokker F.10A,AerovÃ­as Centrales,6.146275647879436,LeÃ³n,Mexico,A1,1933,1,1930,Low Fatalities
216,15-JAN-1934,Dewoitine D.332,Air France,10.0,Corbigny,France,A1,1934,1,1930,Low Fatalities
217,05-MAR-1934,Ford 4-At-B Tri-Motor,Morgan Air Lines,1.0,ToncontÃ­n,Honduras,A1,1934,1,1930,Low Fatalities
218,10-MAR-1934,Junkers F.24K2Ay (G.24),Deutsche Lufthansa,6.146275647879436,Gliwice,Poland,A1,1934,1,1930,Low Fatalities
219,22-MAR-1934,Ford 5-At-C Tri-Motor,Panagra,4.0,Lima-Limatambo A...,Peru,A1,1934,1,1930,Low Fatalities
220,31-MAY-1934,Liorã© Et Olivier 213,Air France,2.0,Croydon,U.K.,A1,1934,1,1930,Low Fatalities
221,09-JUN-1934,Curtiss T-32 Condor Ii,American Airways,7.0,near Livingston Manor...,USA,A1,1934,1,1930,Low Fatalities
222,11-JUN-1934,Ford C-4A (5-At-D) Tri-Motor,USAAC,0.0,"Camp Skeel, Osco...",USA,A1,1934,0,1930,No Fatalities
223,11-JUN-1934,Ford 5-At-C Tri-Motor,Panagra,5.0,Junin,Argentina,A1,1934,1,1930,Low Fatalities
224,23-JUN-1934,Ford 4-At-B Tri-Motor,Mulzer Flying Service,0.0,"Columbus, OH",USA,O1,1934,0,1930,No Fatalities
225,01-JUL-1934,Ford 4-At-D Tri-Motor,Private,0.0,"Lima, OH",USA,A1,1934,0,1930,No Fatalities
226,27-JUL-1934,Curtiss At-32C Condor Ii,Swissair,12.0,Wurmlingen/Tuttl...,Germany,A1,1934,1,1930,Medium Fatalities
228,02-SEP-1934,Ford 5-At-D Tri-Motor,Hanford's Tri-State Airlines,0.0,"Cochrane, WI",USA,A1,1934,0,1930,No Fatalities
229,22-SEP-1934,Handley Page W.10,National Aviation Displays,4.0,"Aston Clinton, B...",U.K.,A1,1934,1,1930,Low Fatalities
230,27-SEP-1934,Fokker F.10A,Mexicana,6.146275647879436,Irapuato,Mexico,A1,1934,1,1930,Low Fatalities
231,19-OCT-1934,Dh.86 Express,Holyman's Airways,11.0,near Wilsons Promonto...,Australia,A1,1934,1,1930,Medium Fatalities
232,26-OCT-1934,Ford 4-At-E Tri-Motor,Ptarmigan Airlines,0.0,"Flat Airport, AK...",USA,A1,1934,0,1930,No Fatalities
233,29-OCT-1934,Ford 4-At-.  Tri-Motor,TACA de Honduras,0.0,La Ceiba Airport...,Honduras,O1,1934,0,1930,No Fatalities
234,06-NOV-1934,Junkers Ju-52/3Mge,Deutsche Reichsbahn-Gesellschaft,5.0,"Gross-Rackitt, P...",Poland,A1,1934,1,1930,Low Fatalities
235,15-NOV-1934,Dh.86 Express,Qantas,4.0,"near Ilfracombe, QLD",Australia,A1,1934,1,1930,Low Fatalities
236,10-DEC-1934,Ford 4-At-E Tri-Motor,Cubana,4.0,near Palma Soriano,Cuba,A1,1934,1,1930,Low Fatalities
237,19-DEC-1934,Curtiss At-32B Condor Ii,American Airways,0.0,"Buffalo, NY",USA,A1,1934,0,1930,No Fatalities
238,20-DEC-1934,Douglas Dc-2-115A,KLM,7.0,near Rutbah Wells,Iraq,A1,1934,1,1930,Low Fatalities
239,28-DEC-1934,Curtiss T-32C Condor Ii,American Airways,0.0,"near Wilmurt, NY",USA,A1,1934,0,1930,No Fatalities
240,??-???-1934,Ford 4-At-B Tri-Motor,Private,0.0,"Boca Chica, Tama...",Mexico,O1,1934,0,1930,No Fatalities
241,23-JAN-1935,Curtiss T-32 Condor Ii,Eastern Air Transport,6.146275647879436,"Atlanta, GA",USA,A1,1935,1,1930,Low Fatalities
242,31-JAN-1935,Junkers Ju-52/3Mge,Deruluft,11.0,near Szczecin,Poland,A1,1935,1,1930,Medium Fatalities
243,06-APR-1935,Fokker F.Xii,KLM,7.0,near Brilon,Germany,A1,1935,1,1930,Low Fatalities
244,16-APR-1935,Consolidated 16 Commodore,Pan Am,0.0,"Miami, FL",USA,O1,1935,0,1930,No Fatalities
245,25-APR-1935,Junkers Ju-52/3Mho,Deutsche Lufthansa,3.0,near Hallgarten,Germany,A1,1935,1,1930,Low Fatalities
246,28-APR-1935,Ford 4-At-B Tri-Motor,Private,0.0,"Gadsden, AL",USA,A1,1935,0,1930,No Fatalities
247,06-MAY-1935,Douglas Dc-2-112,TWA,5.0,"near Atlanta, MO",USA,A1,1935,1,1930,Low Fatalities
248,07-MAY-1935,Ford 4-At-.  Tri-Motor,private,1.0,Lake Izabal,Guatemala,A1,1935,1,1930,Low Fatalities
249,18-MAY-1935,Tupolev Ant-20 Maxim Gorky,Tupolev,6.146275647879436,Moscow,Russia,A1,1935,1,1930,Low Fatalities
250,18-MAY-1935,Ford 4-At-E Tri-Motor,Knowles Flying Service,3.0,Flint-Bishop Air...,USA,A1,1935,1,1930,Low Fatalities
251,22-JUN-1935,Savoia-Marchetti S-66,Ala Littoria,0.0,Marsaxlokk Bay,Malta,A1,1935,0,1930,No Fatalities
252,24-JUN-1935,Ford 5-At-B Tri-Motor,SACO,10.0,MedellÃ­n-Enriqu...,Colombia,A1,1935,1,1930,Low Fatalities
253,24-JUN-1935,Ford 5-At-D Tri-Motor,SCADTA,7.0,MedellÃ­n-Enriqu...,Colombia,A1,1935,1,1930,Low Fatalities
254,09-JUL-1935,Savoia-Marchetti S-66,Ala Littoria,0.0,"near MahÃ³n, Menorca",Spain,A1,1935,0,1930,No Fatalities
255,14-JUL-1935,Fokker F.Xxii,KLM,6.0,near Amsterdam-Schiph...,Netherlands,A1,1935,1,1930,Low Fatalities
256,17-JUL-1935,Douglas Dc-2-115E,KLM,0.0,Bushehr (Bushire...,Iran,A1,1935,0,1930,No Fatalities
257,20-JUL-1935,Douglas Dc-2-115E,KLM,13.0,Pian San Giacomo,Switzerland,A1,1935,1,1930,Medium Fatalities
258,22-JUL-1935,Junkers Ju-52/3M,German AF,11.0,HanskÃ¼hnenburg,Germany,A1,1935,1,1930,Medium Fatalities
259,27-JUL-1935,Curtiss At-32B Condor Ii,American Airways,0.0,"Murfreesboro, TN",USA,A1,1935,0,1930,No Fatalities
260,03-AUG-1935,Douglas Dc-2-112,TWA,0.0,"near Albuquerque, NM",USA,A1,1935,0,1930,No Fatalities
261,02-OCT-1935,Dh.86 Express,Holyman's Airways,5.0,"near Flinders Island,...",Australia,A1,1935,1,1930,Low Fatalities
262,06-OCT-1935,Douglas Dc-2A-127,Standard Oil Company,3.0,"Great Salt Lake, UT",USA,A1,1935,1,1930,Low Fatalities
263,21-OCT-1935,Curtiss Condor 18,Chamberlin Flying Service,1.0,"Troy, NY",USA,A1,1935,1,1930,Low Fatalities
264,22-OCT-1935,Dh.86 Express,Imperial Airways,0.0,Zwettl,Austria,A1,1935,0,1930,No Fatalities
265,24-OCT-1935,Ford 5-At-C Tri-Motor,Private,0.0,Hankow,China,C1,1935,0,1930,No Fatalities
266,25-OCT-1935,Boulton Paul P.71A,Imperial Airways,0.0,Brussel-Haren Ai...,Belgium,A1,1935,0,1930,No Fatalities
267,07-NOV-1935,Savoia-Marchetti S.73P,Sabena,0.0,London-Croydon A...,U.K.,A1,1935,0,1930,No Fatalities
268,09-NOV-1935,Ford 5-At-.  Tri-Motor,TACA de Honduras,0.0,near Jutiapa,Honduras,A1,1935,0,1930,No Fatalities
269,09-NOV-1935,Short S.17 Kent,Imperial Airways,0.0,Brindisi,Italy,O1,1935,0,1930,No Fatalities
